,video,mos_list,subject_ids,content,offset
0,tennis_offset_1.5_cut_24,"[71, 61, 75, 100, 82, 46, 28, 3, 72, 17, 16, 3, 17, 9, 9, 0, 21, 87, 20, 59]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",tennis,1.5
1,cricket_cut_3_45,"[2, 5, 42, 6, 8, 52, 28, 3, 10, 7, 3, 0, 53, 0, 1, 0, 14, 0, 0, 59]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",cricket,0
2,tennis_offset_-0.6_cut_24,"[70, 42, 93, 86, 3, 52, 31, 17, 49, 67, 45, 56, 72, 13, 67, 86, 45, 14, 38, 2]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",tennis,-0.6
3,nfl_offset_1.5_cut_7_00,"[44, 73, 38, 75, 52, 19, 37, 56, 69, 87, 33, 88, 89, 0, 47, 22, 15, 55, 10, 76]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",nfl,1.5
4,cricket_offset_0.2_cut_3_45,"[63, 5, 33, 20, 0, 64, 36, 3, 40, 34, 43, 5, 62, 3, 4, 38, 71, 24, 12, 35]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",cricket,0.2
5,soccer_offset_-0.8_cut_2_25,"[31, 20, 86, 3, 74, 64, 37, 44, 52, 67, 63, 0, 82, 100, 0, 32, 19, 12, 56, 57]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",soccer,-0.8
6,tennis_offset_-1_cut_24,"[4, 5, 5, 3, 48, 54, 53, 9, 17, 7, 4, 0, 8, 0, 12, 0, 36, 3, 1, 0]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",tennis,-1
7,soccer_cut_2_25,"[2, 4, 38, 10, 10, 53, 9, 1, 3, 27, 35, 0, 88, 0, 0, 0, 36, 12, 0, 0]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",soccer,0
8,tennis_offset_1_cut_24,"[54, 66, 63, 100, 98, 56, 7, 45, 75, 49, 66, 61, 20, 0, 11, 100, 16, 84, 21, 90]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",tennis,1
9,cricket_offset_-1_cut_3_45,"[97, 70, 91, 59, 53, 90, 46, 60, 69, 91, 96, 24, 85, 100, 70, 100, 70, 41, 91, 56]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",cricket,-1
10,nfl_offset_0.8_cut_7_00,"[51, 65, 69, 87, 3, 57, 40, 14, 73, 17, 21, 42, 24, 0, 0, 78, 39, 2, 12, 14]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",nfl,0.8
11,cricket_offset_0.4_cut_3_45,"[80, 30, 91, 53, 42, 81, 86, 35, 62, 35, 65, 5, 46, 49, 26, 19, 78, 21, 75, 70]","['9', '1', '10', '8', '6', '20', '21', '12', '13', '14', '19', '50', '18', '3', '4', '5', '7', '11', '2', '15']",cricket,0.4
