,video,mos,mos_std,content,offset
0,0,1.0,0.0,0,0
1,tennis_offset_1.5_cut_24,32.375,27.99525629459391,tennis,1.5
2,cricket_cut_3_45,13.9375,20.71674669802187,cricket,0
3,tennis_offset_-0.6_cut_24,45.0625,23.797239204369905,tennis,-0.6
4,nfl_offset_1.5_cut_7_00,50.3125,27.734722709087972,nfl,1.5
5,cricket_offset_0.2_cut_3_45,29.4375,21.531862291729436,cricket,0.2
6,soccer_offset_-0.8_cut_2_25,44.8125,27.466385705986145,soccer,-0.8
7,tennis_offset_-1_cut_24,11.0625,16.697562509240683,tennis,-1
8,soccer_cut_2_25,14.625,24.16059550176692,soccer,0
9,tennis_offset_1_cut_24,50.3125,29.7924460853754,tennis,1
10,cricket_offset_-1_cut_3_45,74.125,22.73454145128069,cricket,-1
11,nfl_offset_0.8_cut_7_00,31.875,25.546220366230305,nfl,0.8
12,cricket_offset_0.4_cut_3_45,49.0625,24.75749570837083,cricket,0.4
13,nfl_offset_0.2_cut_7_00,19.9375,16.130207492465804,nfl,0.2
14,cricket_offset_1_cut_3_45,65.1875,26.905433349975986,cricket,1
15,newsreader_offset_-0.1_cut_5,6.125,9.116434335857413,newsreader,-0.1
16,soccer_offset_-0.2_cut_2_25,14.25,15.85678088389948,soccer,-0.2
17,newsreader_offset_0.1_cut_5,26.3125,21.770733652084395,newsreader,0.1
18,nfl_offset_-1.5_cut_7_00,49.3125,26.414292414335083,nfl,-1.5
19,nfl_offset_-0.6_cut_7_00,37.3125,26.46865776253114,nfl,-0.6
20,cricket_offset_0.8_cut_3_45,68.375,16.825854361666156,cricket,0.8
21,nfl_cut_7_00,9.1875,16.45151493784083,nfl,0
22,newsreader_cut_5,10.5,14.512925273699992,newsreader,0
23,tennis_offset_0.6_cut_24,41.625,17.581506619172316,tennis,0.6
24,nfl_offset_0.6_cut_7_00,33.625,20.61818069083691,nfl,0.6
25,tennis_cut_24,12.4375,13.014265009980395,tennis,0
26,soccer_offset_-2.5_cut_2_25,83.4375,12.129348447051886,soccer,-2.5
27,newsreader_offset_-0.05_cut_5,5.8125,7.019782315000943,newsreader,-0.05
28,newsreader_offset_0.2_cut_5,46.3125,26.362185868209032,newsreader,0.2
29,cricket_offset_-0.4_cut_3_45,36.625,21.95129551985486,cricket,-0.4
30,newsreader_offset_0.05_cut_5,17.3125,20.29691709964841,newsreader,0.05
31,tennis_offset_0.2_cut_24,8.125,16.182069552439824,tennis,0.2
32,tennis_offset_-0.2_cut_24,27.375,18.96007318023852,tennis,-0.2
33,soccer_offset_0.4_cut_2_25,32.8125,26.308788336789668,soccer,0.4
34,tennis_offset_-1.5_cut_24,55.5625,21.59852063799741,tennis,-1.5
35,cricket_offset_-0.2_cut_3_45,19.375,23.344900406726946,cricket,-0.2
36,soccer_offset_2.5_cut_2_25,91.26666666666667,7.593564526770167,soccer,2.5
37,cricket_offset_-0.8_cut_3_45,68.6875,16.657276000294885,cricket,-0.8
38,soccer_offset_-0.4_cut_2_25,25.9375,26.73590458073188,soccer,-0.4
39,newsreader_offset_-0.2_cut_5,10.8125,13.807691470698495,newsreader,-0.2
40,soccer_offset_0.8_cut_2_25,53.75,27.788261910382232,soccer,0.8
41,nfl_offset_-0.8_cut_7_00,36.75,21.836036728307636,nfl,-0.8
42,newsreader_offset_0.4_cut_5,74.1875,21.31085037604084,newsreader,0.4
43,soccer_offset_0.2_cut_2_25,24.3125,23.892254890445145,soccer,0.2
44,nfl_offset_-0.2_cut_7_00,11.4375,13.67465150378612,nfl,-0.2
45,newsreader_offset_-0.4_cut_5,44.25,29.520120257207626,newsreader,-0.4
