,0,1
0,tennis_offset_-1_cut_24,8
0,soccer_offset_2.5_cut_2_25,79
0,cricket_offset_0.4_cut_3_45,46
0,tennis_offset_-1.5_cut_24,32
0,cricket_offset_1_cut_3_45,71
0,nfl_offset_0.8_cut_7_00,24
0,tennis_offset_0.6_cut_24,66
0,newsreader_offset_-0.4_cut_5,77
0,cricket_cut_3_45,53
0,soccer_offset_-0.8_cut_2_25,82
0,cricket_offset_-1_cut_3_45,85
0,nfl_offset_0.2_cut_7_00,26
0,tennis_offset_0.2_cut_24,1
0,soccer_offset_-2.5_cut_2_25,83
0,cricket_offset_0.2_cut_3_45,62
0,tennis_offset_-0.2_cut_24,19
0,soccer_offset_0.2_cut_2_25,20
0,tennis_offset_1_cut_24,20
0,newsreader_offset_0.05_cut_5,2
0,nfl_offset_-0.8_cut_7_00,58
0,soccer_offset_-0.2_cut_2_25,7
0,nfl_offset_-0.2_cut_7_00,3
0,soccer_offset_0.4_cut_2_25,9
0,nfl_cut_7_00,5
0,soccer_offset_0.8_cut_2_25,66
0,nfl_offset_1.5_cut_7_00,89
0,soccer_offset_-0.4_cut_2_25,74
0,tennis_offset_1.5_cut_24,17
0,newsreader_offset_-0.2_cut_5,0
0,tennis_cut_24,50
0,cricket_offset_-0.4_cut_3_45,80
0,newsreader_offset_0.1_cut_5,8
0,newsreader_offset_0.4_cut_5,69
0,nfl_offset_-0.6_cut_7_00,80
0,newsreader_offset_0.2_cut_5,28
0,soccer_cut_2_25,88
0,newsreader_offset_-0.05_cut_5,10
0,nfl_offset_0.6_cut_7_00,56
0,newsreader_cut_5,55
0,tennis_offset_-0.6_cut_24,72
0,cricket_offset_-0.8_cut_3_45,89
0,newsreader_offset_-0.1_cut_5,0
0,cricket_offset_-0.2_cut_3_45,55
0,nfl_offset_-1.5_cut_7_00,92
0,cricket_offset_0.8_cut_3_45,86
