,video,mos,mos_std,content,offset
0,tennis_offset_1.5_cut_24,39.494664672878635,6.827435190554727,tennis,1.5
1,cricket_cut_3_45,12.986879434765811,3.696017272987228,cricket,0.0
2,tennis_offset_-0.6_cut_24,48.597209632632,5.448281367834209,tennis,-0.6
3,nfl_offset_1.5_cut_7_00,55.1893241707601,6.3947771996103056,nfl,1.5
4,cricket_offset_0.2_cut_3_45,27.22312955352765,3.6468907938626183,cricket,0.2
5,soccer_offset_-0.8_cut_2_25,41.0577756507874,6.123997794747427,soccer,-0.8
6,tennis_offset_-1_cut_24,14.394546773646706,3.7321235936784336,tennis,-1.0
7,soccer_cut_2_25,13.348682101737861,4.2550516909279565,soccer,0.0
8,tennis_offset_1_cut_24,53.54776523971747,6.985427895744983,tennis,1.0
9,cricket_offset_-1_cut_3_45,73.05877782396828,4.4420747149228985,cricket,-1.0
10,nfl_offset_0.8_cut_7_00,38.86667250006823,5.353311559493132,nfl,0.8
11,cricket_offset_0.4_cut_3_45,50.76961882054362,4.579621199064217,cricket,0.4
12,nfl_offset_0.2_cut_7_00,22.14059179096764,3.166711194822145,nfl,0.2
13,cricket_offset_1_cut_3_45,66.41662316480412,4.901096333734312,cricket,1.0
14,newsreader_offset_-0.1_cut_5,9.167057659970453,2.9910253492807963,newsreader,-0.1
15,soccer_offset_-0.2_cut_2_25,13.857369066192152,3.273172505252885,soccer,-0.2
16,newsreader_offset_0.1_cut_5,32.350214499620364,4.862446503535196,newsreader,0.1
17,nfl_offset_-1.5_cut_7_00,51.87171724664787,6.280691623243749,nfl,-1.5
18,nfl_offset_-0.6_cut_7_00,42.05318096808725,5.537796705695416,nfl,-0.6
19,cricket_offset_0.8_cut_3_45,62.33916710055353,4.910160279044179,cricket,0.8
20,nfl_cut_7_00,10.821097283346074,3.977368814003018,nfl,0.0
21,newsreader_cut_5,11.09216119191072,2.6609471207459436,newsreader,0.0
22,tennis_offset_0.6_cut_24,44.89736511109591,3.8132959655457763,tennis,0.6
23,nfl_offset_0.6_cut_7_00,35.81934536397489,3.500423512750534,nfl,0.6
24,tennis_cut_24,12.9003894950243,2.303204919320538,tennis,0.0
25,soccer_offset_-2.5_cut_2_25,83.78789712077861,3.2488138350871014,soccer,-2.5
26,newsreader_offset_-0.05_cut_5,7.86997981417104,1.6496501248019069,newsreader,-0.05
27,newsreader_offset_0.2_cut_5,52.19395071442841,5.603976644860064,newsreader,0.2
28,cricket_offset_-0.4_cut_3_45,38.286650766438655,4.322556762626112,cricket,-0.4
29,newsreader_offset_0.05_cut_5,18.368668908781352,3.2797834480735837,newsreader,0.05
30,tennis_offset_0.2_cut_24,10.403893492091619,4.29097364724914,tennis,0.2
31,tennis_offset_-0.2_cut_24,29.39169722790091,3.7942674639258804,tennis,-0.2
32,soccer_offset_0.4_cut_2_25,31.898196956277715,4.950725043292563,soccer,0.4
33,tennis_offset_-1.5_cut_24,53.56650083978701,4.772491838789041,tennis,-1.5
34,cricket_offset_-0.2_cut_3_45,16.975305988073973,4.310501464810488,cricket,-0.2
35,soccer_offset_2.5_cut_2_25,91.86170527899412,2.8858935029395503,soccer,2.5
36,cricket_offset_-0.8_cut_3_45,68.87270846768963,2.841862051725375,cricket,-0.8
37,soccer_offset_-0.4_cut_2_25,24.558881311160135,5.234424380079827,soccer,-0.4
38,newsreader_offset_-0.2_cut_5,11.227435729636742,2.700588189302562,newsreader,-0.2
39,soccer_offset_0.8_cut_2_25,52.296950659631655,4.920158174928592,soccer,0.8
40,nfl_offset_-0.8_cut_7_00,39.67052029768466,4.201051671420599,nfl,-0.8
41,newsreader_offset_0.4_cut_5,77.99914672453342,4.41618495759483,newsreader,0.4
42,soccer_offset_0.2_cut_2_25,25.16923846769689,4.384298348722103,soccer,0.2
43,nfl_offset_-0.2_cut_7_00,13.605028941869204,2.970866155354634,nfl,-0.2
44,newsreader_offset_-0.4_cut_5,49.11204212446948,6.053966033823709,newsreader,-0.4
